"","R1","R2","R3","P5","P7","mm10_unique","mm10_total","mm10_dup","mm10_libsize"
"30","R1.001","R2.001","R3.030","P1.05","P2.04",2,2,0,2
"202","R1.001","R2.002","R3.010","P1.05","P2.04",1,1,0,1
"270","R1.001","R2.002","R3.078","P1.05","P2.04",1,1,0,1
"1183","R1.001","R2.007","R3.031","P1.05","P2.04",1,1,0,1
"1243","R1.001","R2.007","R3.091","P1.05","P2.04",1,2,0.5,1
"1244","R1.001","R2.007","R3.092","P1.05","P2.04",1,1,0,1
"1994","R1.001","R2.011","R3.074","P1.05","P2.04",1,1,0,1
"2172","R1.001","R2.012","R3.060","P1.05","P2.04",1,1,0,1
"2205","R1.001","R2.012","R3.093","P1.05","P2.04",1,1,0,1
"2329","R1.001","R2.013","R3.025","P1.05","P2.04",1,1,0,1
"2359","R1.001","R2.013","R3.055","P1.05","P2.04",1,1,0,1
"2373","R1.001","R2.013","R3.069","P1.05","P2.04",1,1,0,1
"2507","R1.001","R2.014","R3.011","P1.05","P2.04",1,1,0,1
"2531","R1.001","R2.014","R3.035","P1.05","P2.04",1,1,0,1
"2538","R1.001","R2.014","R3.042","P1.05","P2.04",1,1,0,1
"3077","R1.001","R2.017","R3.005","P1.05","P2.04",1,1,0,1
"3271","R1.001","R2.018","R3.007","P1.05","P2.04",1,1,0,1
"3493","R1.001","R2.019","R3.037","P1.05","P2.04",1,1,0,1
"3889","R1.001","R2.021","R3.049","P1.05","P2.04",1,1,0,1
"4038","R1.001","R2.022","R3.006","P1.05","P2.04",1,1,0,1
"4069","R1.001","R2.022","R3.037","P1.05","P2.04",1,1,0,1
"4276","R1.001","R2.023","R3.052","P1.05","P2.04",1,2,0.5,1
"4494","R1.001","R2.024","R3.078","P1.05","P2.04",1,1,0,1
"4669","R1.001","R2.025","R3.061","P1.05","P2.04",1,1,0,1
"4853","R1.001","R2.026","R3.053","P1.05","P2.04",1,3,0.666666666666667,1
"5023","R1.001","R2.027","R3.031","P1.05","P2.04",1,1,0,1
"5060","R1.001","R2.027","R3.068","P1.05","P2.04",1,1,0,1
"5253","R1.001","R2.028","R3.069","P1.05","P2.04",1,1,0,1
"5589","R1.001","R2.030","R3.021","P1.05","P2.04",1,1,0,1
"6000","R1.001","R2.032","R3.048","P1.05","P2.04",1,1,0,1
"6217","R1.001","R2.033","R3.073","P1.05","P2.04",1,1,0,1
"6799","R1.001","R2.036","R3.079","P1.05","P2.04",1,1,0,1
"7106","R1.001","R2.038","R3.002","P1.05","P2.04",1,1,0,1
"7139","R1.001","R2.038","R3.035","P1.05","P2.04",1,1,0,1
"7163","R1.001","R2.038","R3.059","P1.05","P2.04",2,2,0,2
"7167","R1.001","R2.038","R3.063","P1.05","P2.04",1,1,0,1
"7355","R1.001","R2.039","R3.059","P1.05","P2.04",1,1,0,1
"7367","R1.001","R2.039","R3.071","P1.05","P2.04",1,1,0,1
"7684","R1.001","R2.041","R3.004","P1.05","P2.04",1,1,0,1
"7687","R1.001","R2.041","R3.007","P1.05","P2.04",1,3,0.666666666666667,1
"7727","R1.001","R2.041","R3.047","P1.05","P2.04",1,2,0.5,1
"7746","R1.001","R2.041","R3.066","P1.05","P2.04",1,1,0,1
"7766","R1.001","R2.041","R3.086","P1.05","P2.04",1,1,0,1
"7955","R1.001","R2.042","R3.083","P1.05","P2.04",1,1,0,1
"8118","R1.001","R2.043","R3.054","P1.05","P2.04",1,1,0,1
"8146","R1.001","R2.043","R3.082","P1.05","P2.04",3,4,0.25,7
"8160","R1.001","R2.043","R3.096","P1.05","P2.04",1,1,0,1
"8667","R1.001","R2.046","R3.027","P1.05","P2.04",2,2,0,2
"8698","R1.001","R2.046","R3.058","P1.05","P2.04",1,1,0,1
"9267","R1.001","R2.049","R3.051","P1.05","P2.04",1,1,0,1
"9278","R1.001","R2.049","R3.062","P1.05","P2.04",1,1,0,1
"9470","R1.001","R2.050","R3.062","P1.05","P2.04",1,1,0,1
"9613","R1.001","R2.051","R3.013","P1.05","P2.04",1,2,0.5,1
"10372","R1.001","R2.055","R3.004","P1.05","P2.04",1,1,0,1
"10416","R1.001","R2.055","R3.048","P1.05","P2.04",1,1,0,1
"10646","R1.001","R2.056","R3.086","P1.05","P2.04",1,1,0,1
"10756","R1.001","R2.057","R3.004","P1.05","P2.04",1,1,0,1
"10817","R1.001","R2.057","R3.065","P1.05","P2.04",1,1,0,1
"10840","R1.001","R2.057","R3.088","P1.05","P2.04",1,1,0,1
"11193","R1.001","R2.059","R3.057","P1.05","P2.04",1,1,0,1
"11530","R1.001","R2.061","R3.010","P1.05","P2.04",1,1,0,1
"11532","R1.001","R2.061","R3.012","P1.05","P2.04",1,1,0,1
"11756","R1.001","R2.062","R3.044","P1.05","P2.04",1,2,0.5,1
"11966","R1.001","R2.063","R3.062","P1.05","P2.04",1,2,0.5,1
"12111","R1.001","R2.064","R3.015","P1.05","P2.04",1,1,0,1
"12290","R1.001","R2.065","R3.002","P1.05","P2.04",1,1,0,1
"12330","R1.001","R2.065","R3.042","P1.05","P2.04",1,1,0,1
"12705","R1.001","R2.067","R3.033","P1.05","P2.04",1,1,0,1
"12716","R1.001","R2.067","R3.044","P1.05","P2.04",1,1,0,1
"13339","R1.001","R2.070","R3.091","P1.05","P2.04",1,2,0.5,1
"13723","R1.001","R2.072","R3.091","P1.05","P2.04",1,1,0,1
"14048","R1.001","R2.074","R3.032","P1.05","P2.04",1,1,0,1
"14091","R1.001","R2.074","R3.075","P1.05","P2.04",1,1,0,1
"14444","R1.001","R2.076","R3.044","P1.05","P2.04",1,1,0,1
"14600","R1.001","R2.077","R3.008","P1.05","P2.04",1,1,0,1
"14665","R1.001","R2.077","R3.073","P1.05","P2.04",1,1,0,1
"14827","R1.001","R2.078","R3.043","P1.05","P2.04",1,1,0,1
"15413","R1.001","R2.081","R3.053","P1.05","P2.04",2,2,0,2
"15417","R1.001","R2.081","R3.057","P1.05","P2.04",1,1,0,1
"15434","R1.001","R2.081","R3.074","P1.05","P2.04",1,1,0,1
"15970","R1.001","R2.084","R3.034","P1.05","P2.04",1,1,0,1
"16001","R1.001","R2.084","R3.065","P1.05","P2.04",2,3,0.333333333333333,3
"16337","R1.001","R2.086","R3.017","P1.05","P2.04",1,1,0,1
"16743","R1.001","R2.088","R3.039","P1.05","P2.04",1,1,0,1
"16955","R1.001","R2.089","R3.059","P1.05","P2.04",1,1,0,1
"16957","R1.001","R2.089","R3.061","P1.05","P2.04",1,1,0,1
"16983","R1.001","R2.089","R3.087","P1.05","P2.04",1,1,0,1
"17321","R1.001","R2.091","R3.041","P1.05","P2.04",1,1,0,1
"17477","R1.001","R2.092","R3.005","P1.05","P2.04",1,2,0.5,1
"17670","R1.001","R2.093","R3.006","P1.05","P2.04",1,1,0,1
"17712","R1.001","R2.093","R3.048","P1.05","P2.04",1,1,0,1
"17870","R1.001","R2.094","R3.014","P1.05","P2.04",1,1,0,1
"17908","R1.001","R2.094","R3.052","P1.05","P2.04",3,4,0.25,7
"18263","R1.001","R2.096","R3.023","P1.05","P2.04",1,1,0,1
"36927","R1.002","R2.001","R3.063","P1.05","P2.04",1,1,0,1
"37486","R1.002","R2.004","R3.046","P1.05","P2.04",1,1,0,1
"38107","R1.002","R2.007","R3.091","P1.05","P2.04",1,1,0,1
"38221","R1.002","R2.008","R3.013","P1.05","P2.04",1,1,0,1
"39420","R1.002","R2.014","R3.060","P1.05","P2.04",1,1,0,1
"39433","R1.002","R2.014","R3.073","P1.05","P2.04",1,1,0,1
"39597","R1.002","R2.015","R3.045","P1.05","P2.04",1,1,0,1
"39604","R1.002","R2.015","R3.052","P1.05","P2.04",1,1,0,1
"39781","R1.002","R2.016","R3.037","P1.05","P2.04",1,1,0,1
"39832","R1.002","R2.016","R3.088","P1.05","P2.04",1,1,0,1
"39954","R1.002","R2.017","R3.018","P1.05","P2.04",1,1,0,1
"40139","R1.002","R2.018","R3.011","P1.05","P2.04",1,1,0,1
"40346","R1.002","R2.019","R3.026","P1.05","P2.04",1,2,0.5,1
"40349","R1.002","R2.019","R3.029","P1.05","P2.04",1,2,0.5,1
"40523","R1.002","R2.020","R3.011","P1.05","P2.04",1,1,0,1
"41517","R1.002","R2.025","R3.045","P1.05","P2.04",1,3,0.666666666666667,1
"41525","R1.002","R2.025","R3.053","P1.05","P2.04",1,1,0,1
"42090","R1.002","R2.028","R3.042","P1.05","P2.04",1,1,0,1
"43068","R1.002","R2.033","R3.060","P1.05","P2.04",1,1,0,1
"43246","R1.002","R2.034","R3.046","P1.05","P2.04",1,1,0,1
"43250","R1.002","R2.034","R3.050","P1.05","P2.04",1,2,0.5,1
"43411","R1.002","R2.035","R3.019","P1.05","P2.04",1,1,0,1
"43469","R1.002","R2.035","R3.077","P1.05","P2.04",1,1,0,1
"43484","R1.002","R2.035","R3.092","P1.05","P2.04",1,1,0,1
"43603","R1.002","R2.036","R3.019","P1.05","P2.04",1,1,0,1
"43828","R1.002","R2.037","R3.052","P1.05","P2.04",1,1,0,1
"43863","R1.002","R2.037","R3.087","P1.05","P2.04",3,4,0.25,7
"44203","R1.002","R2.039","R3.043","P1.05","P2.04",1,1,0,1
"44216","R1.002","R2.039","R3.056","P1.05","P2.04",1,1,0,1
"44222","R1.002","R2.039","R3.062","P1.05","P2.04",1,1,0,1
"44412","R1.002","R2.040","R3.060","P1.05","P2.04",1,1,0,1
"44742","R1.002","R2.042","R3.006","P1.05","P2.04",1,1,0,1
"44766","R1.002","R2.042","R3.030","P1.05","P2.04",1,1,0,1
"44771","R1.002","R2.042","R3.035","P1.05","P2.04",1,1,0,1
"45021","R1.002","R2.043","R3.093","P1.05","P2.04",1,1,0,1
"45205","R1.002","R2.044","R3.085","P1.05","P2.04",1,2,0.5,1
"45370","R1.002","R2.045","R3.058","P1.05","P2.04",1,1,0,1
"45374","R1.002","R2.045","R3.062","P1.05","P2.04",1,1,0,1
"45521","R1.002","R2.046","R3.017","P1.05","P2.04",1,2,0.5,1
"45562","R1.002","R2.046","R3.058","P1.05","P2.04",1,1,0,1
"45581","R1.002","R2.046","R3.077","P1.05","P2.04",1,1,0,1
"45903","R1.002","R2.048","R3.015","P1.05","P2.04",1,1,0,1
"46279","R1.002","R2.050","R3.007","P1.05","P2.04",1,1,0,1
"46474","R1.002","R2.051","R3.010","P1.05","P2.04",1,1,0,1
"46531","R1.002","R2.051","R3.067","P1.05","P2.04",1,1,0,1
"46539","R1.002","R2.051","R3.075","P1.05","P2.04",2,2,0,2
"46710","R1.002","R2.052","R3.054","P1.05","P2.04",1,1,0,1
"47305","R1.002","R2.055","R3.073","P1.05","P2.04",1,1,0,1
"47628","R1.002","R2.057","R3.012","P1.05","P2.04",1,2,0.5,1
"48236","R1.002","R2.060","R3.044","P1.05","P2.04",1,1,0,1
"48282","R1.002","R2.060","R3.090","P1.05","P2.04",1,1,0,1
"48619","R1.002","R2.062","R3.043","P1.05","P2.04",1,1,0,1
"48831","R1.002","R2.063","R3.063","P1.05","P2.04",2,2,0,2
"48848","R1.002","R2.063","R3.080","P1.05","P2.04",1,1,0,1
"48993","R1.002","R2.064","R3.033","P1.05","P2.04",1,2,0.5,1
"49016","R1.002","R2.064","R3.056","P1.05","P2.04",1,1,0,1
"49176","R1.002","R2.065","R3.024","P1.05","P2.04",1,1,0,1
"49223","R1.002","R2.065","R3.071","P1.05","P2.04",1,1,0,1
"49346","R1.002","R2.066","R3.002","P1.05","P2.04",1,1,0,1
"49369","R1.002","R2.066","R3.025","P1.05","P2.04",1,1,0,1
"49386","R1.002","R2.066","R3.042","P1.05","P2.04",3,5,0.4,4
"49398","R1.002","R2.066","R3.054","P1.05","P2.04",2,2,0,2
"49400","R1.002","R2.066","R3.056","P1.05","P2.04",1,1,0,1
"49431","R1.002","R2.066","R3.087","P1.05","P2.04",1,1,0,1
"50317","R1.002","R2.071","R3.013","P1.05","P2.04",1,1,0,1
"50532","R1.002","R2.072","R3.036","P1.05","P2.04",1,1,0,1
"50553","R1.002","R2.072","R3.057","P1.05","P2.04",1,1,0,1
"50583","R1.002","R2.072","R3.087","P1.05","P2.04",1,1,0,1
"50719","R1.002","R2.073","R3.031","P1.05","P2.04",1,2,0.5,1
"50731","R1.002","R2.073","R3.043","P1.05","P2.04",1,1,0,1
"50915","R1.002","R2.074","R3.035","P1.05","P2.04",1,1,0,1
"50972","R1.002","R2.074","R3.092","P1.05","P2.04",1,1,0,1
"51094","R1.002","R2.075","R3.022","P1.05","P2.04",1,1,0,1
"51491","R1.002","R2.077","R3.035","P1.05","P2.04",1,2,0.5,1
"51672","R1.002","R2.078","R3.024","P1.05","P2.04",1,1,0,1
"51690","R1.002","R2.078","R3.042","P1.05","P2.04",1,2,0.5,1
"51890","R1.002","R2.079","R3.050","P1.05","P2.04",1,1,0,1
"52034","R1.002","R2.080","R3.002","P1.05","P2.04",1,1,0,1
"52268","R1.002","R2.081","R3.044","P1.05","P2.04",1,1,0,1
"52277","R1.002","R2.081","R3.053","P1.05","P2.04",1,1,0,1
"52630","R1.002","R2.083","R3.022","P1.05","P2.04",1,1,0,1
"53046","R1.002","R2.085","R3.054","P1.05","P2.04",1,1,0,1
"53066","R1.002","R2.085","R3.074","P1.05","P2.04",1,1,0,1
"53394","R1.002","R2.087","R3.018","P1.05","P2.04",1,1,0,1
"53445","R1.002","R2.087","R3.069","P1.05","P2.04",1,1,0,1
"53590","R1.002","R2.088","R3.022","P1.05","P2.04",1,1,0,1
"53776","R1.002","R2.089","R3.016","P1.05","P2.04",1,1,0,1
"53795","R1.002","R2.089","R3.035","P1.05","P2.04",1,1,0,1
"54147","R1.002","R2.091","R3.003","P1.05","P2.04",1,1,0,1
"54397","R1.002","R2.092","R3.061","P1.05","P2.04",2,2,0,2
"54795","R1.002","R2.094","R3.075","P1.05","P2.04",1,1,0,1
"73773","R1.003","R2.001","R3.045","P1.05","P2.04",1,1,0,1
"73784","R1.003","R2.001","R3.056","P1.05","P2.04",1,1,0,1
"73927","R1.003","R2.002","R3.007","P1.05","P2.04",1,1,0,1
"73930","R1.003","R2.002","R3.010","P1.05","P2.04",1,1,0,1
"73948","R1.003","R2.002","R3.028","P1.05","P2.04",1,1,0,1
"74207","R1.003","R2.003","R3.095","P1.05","P2.04",1,1,0,1
"74317","R1.003","R2.004","R3.013","P1.05","P2.04",1,1,0,1
"74385","R1.003","R2.004","R3.081","P1.05","P2.04",1,1,0,1
"74740","R1.003","R2.006","R3.052","P1.05","P2.04",1,1,0,1
"74769","R1.003","R2.006","R3.081","P1.05","P2.04",1,1,0,1
"75267","R1.003","R2.009","R3.003","P1.05","P2.04",1,1,0,1
"75861","R1.003","R2.012","R3.021","P1.05","P2.04",1,1,0,1
"75868","R1.003","R2.012","R3.028","P1.05","P2.04",1,1,0,1
"75878","R1.003","R2.012","R3.038","P1.05","P2.04",1,2,0.5,1
"75909","R1.003","R2.012","R3.069","P1.05","P2.04",1,1,0,1
"76076","R1.003","R2.013","R3.044","P1.05","P2.04",1,1,0,1
"76094","R1.003","R2.013","R3.062","P1.05","P2.04",1,1,0,1
"76248","R1.003","R2.014","R3.024","P1.05","P2.04",1,2,0.5,1
"76294","R1.003","R2.014","R3.070","P1.05","P2.04",1,1,0,1
"76312","R1.003","R2.014","R3.088","P1.05","P2.04",1,1,0,1
"76453","R1.003","R2.015","R3.037","P1.05","P2.04",1,1,0,1
"76466","R1.003","R2.015","R3.050","P1.05","P2.04",1,1,0,1
"76692","R1.003","R2.016","R3.084","P1.05","P2.04",1,1,0,1
"76694","R1.003","R2.016","R3.086","P1.05","P2.04",1,1,0,1
"76822","R1.003","R2.017","R3.022","P1.05","P2.04",1,1,0,1
"76828","R1.003","R2.017","R3.028","P1.05","P2.04",1,3,0.666666666666667,1
"77041","R1.003","R2.018","R3.049","P1.05","P2.04",1,1,0,1
"77227","R1.003","R2.019","R3.043","P1.05","P2.04",1,2,0.5,1
"77261","R1.003","R2.019","R3.077","P1.05","P2.04",1,1,0,1
"77799","R1.003","R2.022","R3.039","P1.05","P2.04",1,1,0,1
"77806","R1.003","R2.022","R3.046","P1.05","P2.04",1,1,0,1
"77845","R1.003","R2.022","R3.085","P1.05","P2.04",1,1,0,1
"77967","R1.003","R2.023","R3.015","P1.05","P2.04",1,1,0,1
"78040","R1.003","R2.023","R3.088","P1.05","P2.04",1,1,0,1
"78556","R1.003","R2.026","R3.028","P1.05","P2.04",1,2,0.5,1
"78757","R1.003","R2.027","R3.037","P1.05","P2.04",2,2,0,2
"78801","R1.003","R2.027","R3.081","P1.05","P2.04",1,1,0,1
"78933","R1.003","R2.028","R3.021","P1.05","P2.04",1,1,0,1
"79153","R1.003","R2.029","R3.049","P1.05","P2.04",1,1,0,1
"79182","R1.003","R2.029","R3.078","P1.05","P2.04",1,1,0,1
"79339","R1.003","R2.030","R3.043","P1.05","P2.04",1,2,0.5,1
"79537","R1.003","R2.031","R3.049","P1.05","P2.04",1,1,0,1
"79564","R1.003","R2.031","R3.076","P1.05","P2.04",1,1,0,1
"79714","R1.003","R2.032","R3.034","P1.05","P2.04",1,1,0,1
"80093","R1.003","R2.034","R3.029","P1.05","P2.04",1,1,0,1
"80138","R1.003","R2.034","R3.074","P1.05","P2.04",1,1,0,1
"80280","R1.003","R2.035","R3.024","P1.05","P2.04",1,1,0,1
"80489","R1.003","R2.036","R3.041","P1.05","P2.04",1,2,0.5,1
"80902","R1.003","R2.038","R3.070","P1.05","P2.04",1,1,0,1
"81067","R1.003","R2.039","R3.043","P1.05","P2.04",3,4,0.25,7
"81081","R1.003","R2.039","R3.057","P1.05","P2.04",1,1,0,1
"81087","R1.003","R2.039","R3.063","P1.05","P2.04",1,1,0,1
"81098","R1.003","R2.039","R3.074","P1.05","P2.04",1,1,0,1
"81251","R1.003","R2.040","R3.035","P1.05","P2.04",4,4,0,4
"81444","R1.003","R2.041","R3.036","P1.05","P2.04",1,1,0,1
"81665","R1.003","R2.042","R3.065","P1.05","P2.04",1,1,0,1
"81667","R1.003","R2.042","R3.067","P1.05","P2.04",2,2,0,2
"81682","R1.003","R2.042","R3.082","P1.05","P2.04",1,1,0,1
"81822","R1.003","R2.043","R3.030","P1.05","P2.04",2,2,0,2
"81846","R1.003","R2.043","R3.054","P1.05","P2.04",1,1,0,1
"82013","R1.003","R2.044","R3.029","P1.05","P2.04",1,1,0,1
"82024","R1.003","R2.044","R3.040","P1.05","P2.04",1,1,0,1
"82203","R1.003","R2.045","R3.027","P1.05","P2.04",1,1,0,1
"82248","R1.003","R2.045","R3.072","P1.05","P2.04",1,2,0.5,1
"82389","R1.003","R2.046","R3.021","P1.05","P2.04",2,2,0,2
"82434","R1.003","R2.046","R3.066","P1.05","P2.04",1,1,0,1
"82463","R1.003","R2.046","R3.095","P1.05","P2.04",1,1,0,1
"82570","R1.003","R2.047","R3.010","P1.05","P2.04",1,1,0,1
"82624","R1.003","R2.047","R3.064","P1.05","P2.04",1,1,0,1
"82951","R1.003","R2.049","R3.007","P1.05","P2.04",1,2,0.5,1
"82967","R1.003","R2.049","R3.023","P1.05","P2.04",1,1,0,1
"82971","R1.003","R2.049","R3.027","P1.05","P2.04",1,1,0,1
"83194","R1.003","R2.050","R3.058","P1.05","P2.04",1,1,0,1
"83197","R1.003","R2.050","R3.061","P1.05","P2.04",1,1,0,1
"83214","R1.003","R2.050","R3.078","P1.05","P2.04",1,1,0,1
"83230","R1.003","R2.050","R3.094","P1.05","P2.04",1,1,0,1
"83341","R1.003","R2.051","R3.013","P1.05","P2.04",1,1,0,1
"83383","R1.003","R2.051","R3.055","P1.05","P2.04",1,1,0,1
"83742","R1.003","R2.053","R3.030","P1.05","P2.04",1,1,0,1
"83780","R1.003","R2.053","R3.068","P1.05","P2.04",1,1,0,1
"83963","R1.003","R2.054","R3.059","P1.05","P2.04",1,1,0,1
"83966","R1.003","R2.054","R3.062","P1.05","P2.04",1,1,0,1
"84102","R1.003","R2.055","R3.006","P1.05","P2.04",1,1,0,1
"84299","R1.003","R2.056","R3.011","P1.05","P2.04",1,1,0,1
"84301","R1.003","R2.056","R3.013","P1.05","P2.04",1,1,0,1
"84332","R1.003","R2.056","R3.044","P1.05","P2.04",1,1,0,1
"84736","R1.003","R2.058","R3.064","P1.05","P2.04",1,1,0,1
"84743","R1.003","R2.058","R3.071","P1.05","P2.04",1,1,0,1
"84957","R1.003","R2.059","R3.093","P1.05","P2.04",1,1,0,1
"85061","R1.003","R2.060","R3.005","P1.05","P2.04",1,1,0,1
"85090","R1.003","R2.060","R3.034","P1.05","P2.04",1,1,0,1
"85109","R1.003","R2.060","R3.053","P1.05","P2.04",1,1,0,1
"85147","R1.003","R2.060","R3.091","P1.05","P2.04",1,1,0,1
"85261","R1.003","R2.061","R3.013","P1.05","P2.04",1,2,0.5,1
"85501","R1.003","R2.062","R3.061","P1.05","P2.04",1,1,0,1
"85504","R1.003","R2.062","R3.064","P1.05","P2.04",1,1,0,1
"85507","R1.003","R2.062","R3.067","P1.05","P2.04",1,1,0,1
"86212","R1.003","R2.066","R3.004","P1.05","P2.04",1,1,0,1
"86242","R1.003","R2.066","R3.034","P1.05","P2.04",1,1,0,1
"86275","R1.003","R2.066","R3.067","P1.05","P2.04",2,2,0,2
"86289","R1.003","R2.066","R3.081","P1.05","P2.04",1,3,0.666666666666667,1
"86436","R1.003","R2.067","R3.036","P1.05","P2.04",1,1,0,1
"86469","R1.003","R2.067","R3.069","P1.05","P2.04",1,1,0,1
"86671","R1.003","R2.068","R3.079","P1.05","P2.04",1,1,0,1
"86684","R1.003","R2.068","R3.092","P1.05","P2.04",1,1,0,1
"86786","R1.003","R2.069","R3.002","P1.05","P2.04",2,2,0,2
"87229","R1.003","R2.071","R3.061","P1.05","P2.04",1,1,0,1
"87418","R1.003","R2.072","R3.058","P1.05","P2.04",1,1,0,1
"87949","R1.003","R2.075","R3.013","P1.05","P2.04",1,1,0,1
"88175","R1.003","R2.076","R3.047","P1.05","P2.04",1,2,0.5,1
"88370","R1.003","R2.077","R3.050","P1.05","P2.04",1,1,0,1
"88581","R1.003","R2.078","R3.069","P1.05","P2.04",1,1,0,1
"88711","R1.003","R2.079","R3.007","P1.05","P2.04",1,1,0,1
"89177","R1.003","R2.081","R3.089","P1.05","P2.04",1,1,0,1
"89301","R1.003","R2.082","R3.021","P1.05","P2.04",1,1,0,1
"89372","R1.003","R2.082","R3.092","P1.05","P2.04",1,1,0,1
"89478","R1.003","R2.083","R3.006","P1.05","P2.04",1,1,0,1
"89485","R1.003","R2.083","R3.013","P1.05","P2.04",2,2,0,2
"89539","R1.003","R2.083","R3.067","P1.05","P2.04",1,2,0.5,1
"89863","R1.003","R2.085","R3.007","P1.05","P2.04",2,2,0,2
"89923","R1.003","R2.085","R3.067","P1.05","P2.04",1,1,0,1
"90132","R1.003","R2.086","R3.084","P1.05","P2.04",1,1,0,1
"90296","R1.003","R2.087","R3.056","P1.05","P2.04",1,1,0,1
"90312","R1.003","R2.087","R3.072","P1.05","P2.04",1,1,0,1
"90437","R1.003","R2.088","R3.005","P1.05","P2.04",1,1,0,1
"90632","R1.003","R2.089","R3.008","P1.05","P2.04",1,1,0,1
"90645","R1.003","R2.089","R3.021","P1.05","P2.04",1,1,0,1
"90674","R1.003","R2.089","R3.050","P1.05","P2.04",1,1,0,1
"90823","R1.003","R2.090","R3.007","P1.05","P2.04",1,1,0,1
"91009","R1.003","R2.091","R3.001","P1.05","P2.04",1,1,0,1
"91013","R1.003","R2.091","R3.005","P1.05","P2.04",1,1,0,1
"91066","R1.003","R2.091","R3.058","P1.05","P2.04",1,1,0,1
"91081","R1.003","R2.091","R3.073","P1.05","P2.04",1,1,0,1
"91267","R1.003","R2.092","R3.067","P1.05","P2.04",1,1,0,1
"91287","R1.003","R2.092","R3.087","P1.05","P2.04",1,1,0,1
"91289","R1.003","R2.092","R3.089","P1.05","P2.04",1,1,0,1
"91445","R1.003","R2.093","R3.053","P1.05","P2.04",1,1,0,1
"91450","R1.003","R2.093","R3.058","P1.05","P2.04",1,1,0,1
"91470","R1.003","R2.093","R3.078","P1.05","P2.04",1,1,0,1
"91589","R1.003","R2.094","R3.005","P1.05","P2.04",1,1,0,1
"91614","R1.003","R2.094","R3.030","P1.05","P2.04",1,1,0,1
"91783","R1.003","R2.095","R3.007","P1.05","P2.04",1,1,0,1
"91799","R1.003","R2.095","R3.023","P1.05","P2.04",1,1,0,1
"91822","R1.003","R2.095","R3.046","P1.05","P2.04",1,3,0.666666666666667,1
"91971","R1.003","R2.096","R3.003","P1.05","P2.04",1,1,0,1
"110999","R1.004","R2.003","R3.023","P1.05","P2.04",2,2,0,2
"111572","R1.004","R2.006","R3.020","P1.05","P2.04",1,1,0,1
"111628","R1.004","R2.006","R3.076","P1.05","P2.04",1,1,0,1
"111788","R1.004","R2.007","R3.044","P1.05","P2.04",1,1,0,1
"111796","R1.004","R2.007","R3.052","P1.05","P2.04",1,1,0,1
"111810","R1.004","R2.007","R3.066","P1.05","P2.04",1,1,0,1
"112367","R1.004","R2.010","R3.047","P1.05","P2.04",1,1,0,1
"112523","R1.004","R2.011","R3.011","P1.05","P2.04",1,1,0,1
"112548","R1.004","R2.011","R3.036","P1.05","P2.04",1,1,0,1
"112583","R1.004","R2.011","R3.071","P1.05","P2.04",1,1,0,1
"112603","R1.004","R2.011","R3.091","P1.05","P2.04",1,1,0,1
"112715","R1.004","R2.012","R3.011","P1.05","P2.04",1,1,0,1
"112718","R1.004","R2.012","R3.014","P1.05","P2.04",1,1,0,1
"112745","R1.004","R2.012","R3.041","P1.05","P2.04",1,1,0,1
"112795","R1.004","R2.012","R3.091","P1.05","P2.04",1,1,0,1
"113140","R1.004","R2.014","R3.052","P1.05","P2.04",1,1,0,1
"113686","R1.004","R2.017","R3.022","P1.05","P2.04",1,1,0,1
"113698","R1.004","R2.017","R3.034","P1.05","P2.04",1,3,0.666666666666667,1
"113944","R1.004","R2.018","R3.088","P1.05","P2.04",1,1,0,1
"113950","R1.004","R2.018","R3.094","P1.05","P2.04",1,1,0,1
"114096","R1.004","R2.019","R3.048","P1.05","P2.04",1,1,0,1
"114112","R1.004","R2.019","R3.064","P1.05","P2.04",1,2,0.5,1
"114118","R1.004","R2.019","R3.070","P1.05","P2.04",1,1,0,1
"114285","R1.004","R2.020","R3.045","P1.05","P2.04",1,2,0.5,1
"114446","R1.004","R2.021","R3.014","P1.05","P2.04",1,2,0.5,1
"114496","R1.004","R2.021","R3.064","P1.05","P2.04",1,1,0,1
"114515","R1.004","R2.021","R3.083","P1.05","P2.04",2,2,0,2
"114628","R1.004","R2.022","R3.004","P1.05","P2.04",1,1,0,1
"114821","R1.004","R2.023","R3.005","P1.05","P2.04",1,1,0,1
"114826","R1.004","R2.023","R3.010","P1.05","P2.04",2,2,0,2
"115102","R1.004","R2.024","R3.094","P1.05","P2.04",2,4,0.5,3
"115205","R1.004","R2.025","R3.005","P1.05","P2.04",1,1,0,1
"115209","R1.004","R2.025","R3.009","P1.05","P2.04",1,1,0,1
"115247","R1.004","R2.025","R3.047","P1.05","P2.04",1,1,0,1
"115590","R1.004","R2.027","R3.006","P1.05","P2.04",1,1,0,1
"115625","R1.004","R2.027","R3.041","P1.05","P2.04",2,3,0.333333333333333,3
"115801","R1.004","R2.028","R3.025","P1.05","P2.04",1,1,0,1
"115813","R1.004","R2.028","R3.037","P1.05","P2.04",1,1,0,1
"115845","R1.004","R2.028","R3.069","P1.05","P2.04",1,1,0,1
"116172","R1.004","R2.030","R3.012","P1.05","P2.04",1,1,0,1
"116367","R1.004","R2.031","R3.015","P1.05","P2.04",1,1,0,1
"116830","R1.004","R2.033","R3.094","P1.05","P2.04",1,1,0,1
"117022","R1.004","R2.034","R3.094","P1.05","P2.04",1,1,0,1
