Group	Tag_count	Tag_perc
CDS_Exons	383	8.9906103286385
5'UTR_Exons	495	11.6197183098592
3'UTR_Exons	320	7.51173708920188
Introns	2747	64.4835680751174
TSS_up_1kb	14	0.328638497652582
TSS_up_5kb	55	1.29107981220657
TSS_up_10kb	112	2.62910798122066
TES_down_1kb	23	0.539906103286385
TES_down_5kb	80	1.87793427230047
TES_down_10kb	203	4.76525821596244
Intergenic	315	7.3943661971831
