"","R1","R2","R3","P5","P7","mm10_unique","mm10_total","mm10_dup","mm10_libsize"
"202","R1.001","R2.002","R3.010","P1.04","P2.04",1,1,0,1
"242","R1.001","R2.002","R3.050","P1.04","P2.04",1,1,0,1
"1609","R1.001","R2.009","R3.073","P1.04","P2.04",1,1,0,1
"1730","R1.001","R2.010","R3.002","P1.04","P2.04",1,1,0,1
"1795","R1.001","R2.010","R3.067","P1.04","P2.04",1,1,0,1
"1804","R1.001","R2.010","R3.076","P1.04","P2.04",1,1,0,1
"2355","R1.001","R2.013","R3.051","P1.04","P2.04",1,1,0,1
"2359","R1.001","R2.013","R3.055","P1.04","P2.04",1,1,0,1
"2373","R1.001","R2.013","R3.069","P1.04","P2.04",1,1,0,1
"2507","R1.001","R2.014","R3.011","P1.04","P2.04",1,1,0,1
"2773","R1.001","R2.015","R3.085","P1.04","P2.04",1,1,0,1
"3139","R1.001","R2.017","R3.067","P1.04","P2.04",2,2,0,2
"4069","R1.001","R2.022","R3.037","P1.04","P2.04",1,1,0,1
"4245","R1.001","R2.023","R3.021","P1.04","P2.04",2,2,0,2
"4270","R1.001","R2.023","R3.046","P1.04","P2.04",1,2,0.5,1
"4669","R1.001","R2.025","R3.061","P1.04","P2.04",1,1,0,1
"5049","R1.001","R2.027","R3.057","P1.04","P2.04",2,2,0,2
"5069","R1.001","R2.027","R3.077","P1.04","P2.04",1,2,0.5,1
"5191","R1.001","R2.028","R3.007","P1.04","P2.04",1,1,0,1
"5259","R1.001","R2.028","R3.075","P1.04","P2.04",1,1,0,1
"5422","R1.001","R2.029","R3.046","P1.04","P2.04",1,1,0,1
"5434","R1.001","R2.029","R3.058","P1.04","P2.04",2,2,0,2
"6038","R1.001","R2.032","R3.086","P1.04","P2.04",1,1,0,1
"6215","R1.001","R2.033","R3.071","P1.04","P2.04",1,2,0.5,1
"6231","R1.001","R2.033","R3.087","P1.04","P2.04",1,1,0,1
"6354","R1.001","R2.034","R3.018","P1.04","P2.04",1,2,0.5,1
"6975","R1.001","R2.037","R3.063","P1.04","P2.04",1,1,0,1
"7177","R1.001","R2.038","R3.073","P1.04","P2.04",1,1,0,1
"7310","R1.001","R2.039","R3.014","P1.04","P2.04",1,1,0,1
"7336","R1.001","R2.039","R3.040","P1.04","P2.04",1,1,0,1
"7367","R1.001","R2.039","R3.071","P1.04","P2.04",1,2,0.5,1
"7538","R1.001","R2.040","R3.050","P1.04","P2.04",1,1,0,1
"7687","R1.001","R2.041","R3.007","P1.04","P2.04",2,2,0,2
"7718","R1.001","R2.041","R3.038","P1.04","P2.04",1,1,0,1
"7766","R1.001","R2.041","R3.086","P1.04","P2.04",1,1,0,1
"7770","R1.001","R2.041","R3.090","P1.04","P2.04",1,1,0,1
"7919","R1.001","R2.042","R3.047","P1.04","P2.04",1,1,0,1
"8842","R1.001","R2.047","R3.010","P1.04","P2.04",1,1,0,1
"9298","R1.001","R2.049","R3.082","P1.04","P2.04",1,1,0,1
"9417","R1.001","R2.050","R3.009","P1.04","P2.04",1,1,0,1
"9454","R1.001","R2.050","R3.046","P1.04","P2.04",1,1,0,1
"9643","R1.001","R2.051","R3.043","P1.04","P2.04",1,1,0,1
"10060","R1.001","R2.053","R3.076","P1.04","P2.04",1,1,0,1
"10462","R1.001","R2.055","R3.094","P1.04","P2.04",1,1,0,1
"10610","R1.001","R2.056","R3.050","P1.04","P2.04",1,1,0,1
"10826","R1.001","R2.057","R3.074","P1.04","P2.04",1,1,0,1
"11777","R1.001","R2.062","R3.065","P1.04","P2.04",2,2,0,2
"11966","R1.001","R2.063","R3.062","P1.04","P2.04",1,2,0.5,1
"11976","R1.001","R2.063","R3.072","P1.04","P2.04",1,1,0,1
"12324","R1.001","R2.065","R3.036","P1.04","P2.04",1,1,0,1
"12330","R1.001","R2.065","R3.042","P1.04","P2.04",2,2,0,2
"13707","R1.001","R2.072","R3.075","P1.04","P2.04",1,1,0,1
"13864","R1.001","R2.073","R3.040","P1.04","P2.04",1,1,0,1
"13897","R1.001","R2.073","R3.073","P1.04","P2.04",1,1,0,1
"14299","R1.001","R2.075","R3.091","P1.04","P2.04",1,1,0,1
"14804","R1.001","R2.078","R3.020","P1.04","P2.04",1,1,0,1
"14812","R1.001","R2.078","R3.028","P1.04","P2.04",1,1,0,1
"15020","R1.001","R2.079","R3.044","P1.04","P2.04",1,1,0,1
"15027","R1.001","R2.079","R3.051","P1.04","P2.04",1,1,0,1
"15193","R1.001","R2.080","R3.025","P1.04","P2.04",1,3,0.666666666666667,1
"15202","R1.001","R2.080","R3.034","P1.04","P2.04",1,2,0.5,1
"15211","R1.001","R2.080","R3.043","P1.04","P2.04",1,1,0,1
"15978","R1.001","R2.084","R3.042","P1.04","P2.04",1,1,0,1
"16001","R1.001","R2.084","R3.065","P1.04","P2.04",1,1,0,1
"16171","R1.001","R2.085","R3.043","P1.04","P2.04",1,2,0.5,1
"16395","R1.001","R2.086","R3.075","P1.04","P2.04",1,1,0,1
"16707","R1.001","R2.088","R3.003","P1.04","P2.04",1,1,0,1
"16786","R1.001","R2.088","R3.082","P1.04","P2.04",1,1,0,1
"16951","R1.001","R2.089","R3.055","P1.04","P2.04",1,2,0.5,1
"16992","R1.001","R2.089","R3.096","P1.04","P2.04",1,1,0,1
"17162","R1.001","R2.090","R3.074","P1.04","P2.04",2,2,0,2
"17349","R1.001","R2.091","R3.069","P1.04","P2.04",1,1,0,1
"17371","R1.001","R2.091","R3.091","P1.04","P2.04",2,2,0,2
"17477","R1.001","R2.092","R3.005","P1.04","P2.04",1,1,0,1
"17733","R1.001","R2.093","R3.069","P1.04","P2.04",1,1,0,1
"17918","R1.001","R2.094","R3.062","P1.04","P2.04",1,1,0,1
"18132","R1.001","R2.095","R3.084","P1.04","P2.04",1,1,0,1
"36927","R1.002","R2.001","R3.063","P1.04","P2.04",1,1,0,1
"37522","R1.002","R2.004","R3.082","P1.04","P2.04",1,1,0,1
"38066","R1.002","R2.007","R3.050","P1.04","P2.04",1,1,0,1
"38085","R1.002","R2.007","R3.069","P1.04","P2.04",1,1,0,1
"38857","R1.002","R2.011","R3.073","P1.04","P2.04",1,1,0,1
"39223","R1.002","R2.013","R3.055","P1.04","P2.04",1,1,0,1
"39384","R1.002","R2.014","R3.024","P1.04","P2.04",1,1,0,1
"39642","R1.002","R2.015","R3.090","P1.04","P2.04",3,3,0,3
"39763","R1.002","R2.016","R3.019","P1.04","P2.04",1,1,0,1
"39832","R1.002","R2.016","R3.088","P1.04","P2.04",1,1,0,1
"39967","R1.002","R2.017","R3.031","P1.04","P2.04",1,1,0,1
"40203","R1.002","R2.018","R3.075","P1.04","P2.04",1,2,0.5,1
"41491","R1.002","R2.025","R3.019","P1.04","P2.04",1,1,0,1
"41550","R1.002","R2.025","R3.078","P1.04","P2.04",1,1,0,1
"42139","R1.002","R2.028","R3.091","P1.04","P2.04",1,1,0,1
"42889","R1.002","R2.032","R3.073","P1.04","P2.04",1,1,0,1
"42905","R1.002","R2.032","R3.089","P1.04","P2.04",1,1,0,1
"43250","R1.002","R2.034","R3.050","P1.04","P2.04",1,1,0,1
"43270","R1.002","R2.034","R3.070","P1.04","P2.04",1,2,0.5,1
"43411","R1.002","R2.035","R3.019","P1.04","P2.04",1,1,0,1
"43834","R1.002","R2.037","R3.058","P1.04","P2.04",2,2,0,2
"43870","R1.002","R2.037","R3.094","P1.04","P2.04",1,1,0,1
"44043","R1.002","R2.038","R3.075","P1.04","P2.04",1,1,0,1
"44056","R1.002","R2.038","R3.088","P1.04","P2.04",1,1,0,1
"44359","R1.002","R2.040","R3.007","P1.04","P2.04",1,2,0.5,1
"45189","R1.002","R2.044","R3.069","P1.04","P2.04",1,1,0,1
"45205","R1.002","R2.044","R3.085","P1.04","P2.04",1,1,0,1
"45370","R1.002","R2.045","R3.058","P1.04","P2.04",1,1,0,1
"45374","R1.002","R2.045","R3.062","P1.04","P2.04",1,1,0,1
"45559","R1.002","R2.046","R3.055","P1.04","P2.04",1,1,0,1
"45562","R1.002","R2.046","R3.058","P1.04","P2.04",1,1,0,1
"45581","R1.002","R2.046","R3.077","P1.04","P2.04",1,1,0,1
"45780","R1.002","R2.047","R3.084","P1.04","P2.04",1,1,0,1
"46531","R1.002","R2.051","R3.067","P1.04","P2.04",1,3,0.666666666666667,1
"46540","R1.002","R2.051","R3.076","P1.04","P2.04",1,1,0,1
"47279","R1.002","R2.055","R3.047","P1.04","P2.04",1,1,0,1
"48052","R1.002","R2.059","R3.052","P1.04","P2.04",1,1,0,1
"48619","R1.002","R2.062","R3.043","P1.04","P2.04",1,1,0,1
"48642","R1.002","R2.062","R3.066","P1.04","P2.04",1,1,0,1
"49205","R1.002","R2.065","R3.053","P1.04","P2.04",1,3,0.666666666666667,1
"49398","R1.002","R2.066","R3.054","P1.04","P2.04",3,3,0,3
"49400","R1.002","R2.066","R3.056","P1.04","P2.04",2,3,0.333333333333333,3
"49735","R1.002","R2.068","R3.007","P1.04","P2.04",1,1,0,1
"50510","R1.002","R2.072","R3.014","P1.04","P2.04",1,1,0,1
"51102","R1.002","R2.075","R3.030","P1.04","P2.04",1,1,0,1
"51142","R1.002","R2.075","R3.070","P1.04","P2.04",1,2,0.5,1
"51520","R1.002","R2.077","R3.064","P1.04","P2.04",1,1,0,1
"52289","R1.002","R2.081","R3.065","P1.04","P2.04",2,2,0,2
"52296","R1.002","R2.081","R3.072","P1.04","P2.04",1,1,0,1
"53776","R1.002","R2.089","R3.016","P1.04","P2.04",1,1,0,1
"53795","R1.002","R2.089","R3.035","P1.04","P2.04",1,1,0,1
"53953","R1.002","R2.090","R3.001","P1.04","P2.04",1,1,0,1
"53957","R1.002","R2.090","R3.005","P1.04","P2.04",1,1,0,1
"53972","R1.002","R2.090","R3.020","P1.04","P2.04",1,1,0,1
"54397","R1.002","R2.092","R3.061","P1.04","P2.04",2,2,0,2
"54623","R1.002","R2.093","R3.095","P1.04","P2.04",1,1,0,1
"54923","R1.002","R2.095","R3.011","P1.04","P2.04",1,1,0,1
"73766","R1.003","R2.001","R3.038","P1.04","P2.04",1,1,0,1
"73769","R1.003","R2.001","R3.041","P1.04","P2.04",1,2,0.5,1
"74113","R1.003","R2.003","R3.001","P1.04","P2.04",1,1,0,1
"74204","R1.003","R2.003","R3.092","P1.04","P2.04",1,1,0,1
"74379","R1.003","R2.004","R3.075","P1.04","P2.04",1,1,0,1
"74933","R1.003","R2.007","R3.053","P1.04","P2.04",1,1,0,1
"75103","R1.003","R2.008","R3.031","P1.04","P2.04",2,2,0,2
"75653","R1.003","R2.011","R3.005","P1.04","P2.04",3,3,0,3
"75660","R1.003","R2.011","R3.012","P1.04","P2.04",1,1,0,1
"76076","R1.003","R2.013","R3.044","P1.04","P2.04",1,2,0.5,1
"76299","R1.003","R2.014","R3.075","P1.04","P2.04",1,1,0,1
"76313","R1.003","R2.014","R3.089","P1.04","P2.04",1,1,0,1
"76429","R1.003","R2.015","R3.013","P1.04","P2.04",1,1,0,1
"76466","R1.003","R2.015","R3.050","P1.04","P2.04",3,5,0.4,4
"76821","R1.003","R2.017","R3.021","P1.04","P2.04",1,1,0,1
"76850","R1.003","R2.017","R3.050","P1.04","P2.04",1,1,0,1
"77420","R1.003","R2.020","R3.044","P1.04","P2.04",1,2,0.5,1
"77639","R1.003","R2.021","R3.071","P1.04","P2.04",1,1,0,1
"77967","R1.003","R2.023","R3.015","P1.04","P2.04",1,1,0,1
"78007","R1.003","R2.023","R3.055","P1.04","P2.04",1,2,0.5,1
"78033","R1.003","R2.023","R3.081","P1.04","P2.04",1,1,0,1
"78226","R1.003","R2.024","R3.082","P1.04","P2.04",1,1,0,1
"78348","R1.003","R2.025","R3.012","P1.04","P2.04",2,3,0.333333333333333,3
"78356","R1.003","R2.025","R3.020","P1.04","P2.04",1,1,0,1
"78427","R1.003","R2.025","R3.091","P1.04","P2.04",1,1,0,1
"78573","R1.003","R2.026","R3.045","P1.04","P2.04",2,2,0,2
"78804","R1.003","R2.027","R3.084","P1.04","P2.04",2,3,0.333333333333333,3
"79126","R1.003","R2.029","R3.022","P1.04","P2.04",1,1,0,1
"79301","R1.003","R2.030","R3.005","P1.04","P2.04",1,1,0,1
"79722","R1.003","R2.032","R3.042","P1.04","P2.04",2,2,0,2
"79879","R1.003","R2.033","R3.007","P1.04","P2.04",1,1,0,1
"79955","R1.003","R2.033","R3.083","P1.04","P2.04",1,1,0,1
"80339","R1.003","R2.035","R3.083","P1.04","P2.04",1,1,0,1
"80905","R1.003","R2.038","R3.073","P1.04","P2.04",1,1,0,1
"80919","R1.003","R2.038","R3.087","P1.04","P2.04",1,1,0,1
"81087","R1.003","R2.039","R3.063","P1.04","P2.04",1,1,0,1
"81269","R1.003","R2.040","R3.053","P1.04","P2.04",1,2,0.5,1
"81415","R1.003","R2.041","R3.007","P1.04","P2.04",1,1,0,1
"81431","R1.003","R2.041","R3.023","P1.04","P2.04",1,1,0,1
"81462","R1.003","R2.041","R3.054","P1.04","P2.04",1,2,0.5,1
"81477","R1.003","R2.041","R3.069","P1.04","P2.04",2,3,0.333333333333333,3
"81667","R1.003","R2.042","R3.067","P1.04","P2.04",1,1,0,1
"81674","R1.003","R2.042","R3.074","P1.04","P2.04",1,1,0,1
"82024","R1.003","R2.044","R3.040","P1.04","P2.04",1,1,0,1
"82033","R1.003","R2.044","R3.049","P1.04","P2.04",1,1,0,1
"82048","R1.003","R2.044","R3.064","P1.04","P2.04",1,1,0,1
"82052","R1.003","R2.044","R3.068","P1.04","P2.04",1,1,0,1
"82053","R1.003","R2.044","R3.069","P1.04","P2.04",1,1,0,1
"82222","R1.003","R2.045","R3.046","P1.04","P2.04",1,2,0.5,1
"82580","R1.003","R2.047","R3.020","P1.04","P2.04",1,1,0,1
"82958","R1.003","R2.049","R3.014","P1.04","P2.04",1,2,0.5,1
"82991","R1.003","R2.049","R3.047","P1.04","P2.04",1,1,0,1
"83191","R1.003","R2.050","R3.055","P1.04","P2.04",1,1,0,1
"83198","R1.003","R2.050","R3.062","P1.04","P2.04",1,1,0,1
"83365","R1.003","R2.051","R3.037","P1.04","P2.04",1,1,0,1
"83580","R1.003","R2.052","R3.060","P1.04","P2.04",1,1,0,1
"83963","R1.003","R2.054","R3.059","P1.04","P2.04",1,2,0.5,1
"84517","R1.003","R2.057","R3.037","P1.04","P2.04",1,1,0,1
"84700","R1.003","R2.058","R3.028","P1.04","P2.04",1,1,0,1
"84927","R1.003","R2.059","R3.063","P1.04","P2.04",1,1,0,1
"84934","R1.003","R2.059","R3.070","P1.04","P2.04",1,1,0,1
"85061","R1.003","R2.060","R3.005","P1.04","P2.04",1,1,0,1
"85125","R1.003","R2.060","R3.069","P1.04","P2.04",1,1,0,1
"85446","R1.003","R2.062","R3.006","P1.04","P2.04",1,2,0.5,1
"85514","R1.003","R2.062","R3.074","P1.04","P2.04",1,1,0,1
"86229","R1.003","R2.066","R3.021","P1.04","P2.04",1,2,0.5,1
"86474","R1.003","R2.067","R3.074","P1.04","P2.04",2,2,0,2
"86490","R1.003","R2.067","R3.090","P1.04","P2.04",3,3,0,3
"86807","R1.003","R2.069","R3.023","P1.04","P2.04",1,1,0,1
"86830","R1.003","R2.069","R3.046","P1.04","P2.04",2,3,0.333333333333333,3
"86852","R1.003","R2.069","R3.068","P1.04","P2.04",1,1,0,1
"86874","R1.003","R2.069","R3.090","P1.04","P2.04",1,1,0,1
"87061","R1.003","R2.070","R3.085","P1.04","P2.04",1,1,0,1
"87241","R1.003","R2.071","R3.073","P1.04","P2.04",1,1,0,1
"87611","R1.003","R2.073","R3.059","P1.04","P2.04",2,2,0,2
"87753","R1.003","R2.074","R3.009","P1.04","P2.04",3,3,0,3
"87807","R1.003","R2.074","R3.063","P1.04","P2.04",2,4,0.5,3
"88005","R1.003","R2.075","R3.069","P1.04","P2.04",1,1,0,1
"88386","R1.003","R2.077","R3.066","P1.04","P2.04",1,1,0,1
"88408","R1.003","R2.077","R3.088","P1.04","P2.04",1,1,0,1
"88521","R1.003","R2.078","R3.009","P1.04","P2.04",1,1,0,1
"88600","R1.003","R2.078","R3.088","P1.04","P2.04",1,1,0,1
"88733","R1.003","R2.079","R3.029","P1.04","P2.04",1,1,0,1
"88906","R1.003","R2.080","R3.010","P1.04","P2.04",1,1,0,1
"89289","R1.003","R2.082","R3.009","P1.04","P2.04",1,1,0,1
"89331","R1.003","R2.082","R3.051","P1.04","P2.04",1,1,0,1
"90129","R1.003","R2.086","R3.081","P1.04","P2.04",1,1,0,1
"90132","R1.003","R2.086","R3.084","P1.04","P2.04",1,1,0,1
"90296","R1.003","R2.087","R3.056","P1.04","P2.04",2,2,0,2
"90631","R1.003","R2.089","R3.007","P1.04","P2.04",1,1,0,1
"90689","R1.003","R2.089","R3.065","P1.04","P2.04",1,2,0.5,1
"90903","R1.003","R2.090","R3.087","P1.04","P2.04",1,1,0,1
"91009","R1.003","R2.091","R3.001","P1.04","P2.04",1,1,0,1
"91017","R1.003","R2.091","R3.009","P1.04","P2.04",1,1,0,1
"91470","R1.003","R2.093","R3.078","P1.04","P2.04",3,3,0,3
"91478","R1.003","R2.093","R3.086","P1.04","P2.04",1,1,0,1
"91487","R1.003","R2.093","R3.095","P1.04","P2.04",1,2,0.5,1
"92033","R1.003","R2.096","R3.065","P1.04","P2.04",1,2,0.5,1
"110601","R1.004","R2.001","R3.009","P1.04","P2.04",2,2,0,2
"110669","R1.004","R2.001","R3.077","P1.04","P2.04",1,1,0,1
"111022","R1.004","R2.003","R3.046","P1.04","P2.04",1,1,0,1
"111262","R1.004","R2.004","R3.094","P1.04","P2.04",1,1,0,1
"111410","R1.004","R2.005","R3.050","P1.04","P2.04",1,1,0,1
"111639","R1.004","R2.006","R3.087","P1.04","P2.04",1,1,0,1
"111813","R1.004","R2.007","R3.069","P1.04","P2.04",1,1,0,1
"112405","R1.004","R2.010","R3.085","P1.04","P2.04",1,1,0,1
"112548","R1.004","R2.011","R3.036","P1.04","P2.04",1,1,0,1
"112603","R1.004","R2.011","R3.091","P1.04","P2.04",2,2,0,2
"112751","R1.004","R2.012","R3.047","P1.04","P2.04",2,2,0,2
"112754","R1.004","R2.012","R3.050","P1.04","P2.04",1,1,0,1
"113167","R1.004","R2.014","R3.079","P1.04","P2.04",1,1,0,1
"113175","R1.004","R2.014","R3.087","P1.04","P2.04",1,1,0,1
"113698","R1.004","R2.017","R3.034","P1.04","P2.04",1,1,0,1
"114285","R1.004","R2.020","R3.045","P1.04","P2.04",1,2,0.5,1
"114506","R1.004","R2.021","R3.074","P1.04","P2.04",1,1,0,1
"114629","R1.004","R2.022","R3.005","P1.04","P2.04",1,1,0,1
"114849","R1.004","R2.023","R3.033","P1.04","P2.04",1,1,0,1
"115102","R1.004","R2.024","R3.094","P1.04","P2.04",1,1,0,1
"115860","R1.004","R2.028","R3.084","P1.04","P2.04",1,1,0,1
"116391","R1.004","R2.031","R3.039","P1.04","P2.04",1,1,0,1
"116551","R1.004","R2.032","R3.007","P1.04","P2.04",1,1,0,1
"116588","R1.004","R2.032","R3.044","P1.04","P2.04",1,1,0,1
"116777","R1.004","R2.033","R3.041","P1.04","P2.04",1,1,0,1
"117005","R1.004","R2.034","R3.077","P1.04","P2.04",1,1,0,1
"117022","R1.004","R2.034","R3.094","P1.04","P2.04",2,2,0,2
"117557","R1.004","R2.037","R3.053","P1.04","P2.04",1,1,0,1
"117758","R1.004","R2.038","R3.062","P1.04","P2.04",1,2,0.5,1
"117902","R1.004","R2.039","R3.014","P1.04","P2.04",1,2,0.5,1
"117922","R1.004","R2.039","R3.034","P1.04","P2.04",1,1,0,1
"117940","R1.004","R2.039","R3.052","P1.04","P2.04",1,1,0,1
"117948","R1.004","R2.039","R3.060","P1.04","P2.04",1,1,0,1
"118117","R1.004","R2.040","R3.037","P1.04","P2.04",1,1,0,1
"118362","R1.004","R2.041","R3.090","P1.04","P2.04",1,1,0,1
"118497","R1.004","R2.042","R3.033","P1.04","P2.04",1,1,0,1
"118669","R1.004","R2.043","R3.013","P1.04","P2.04",1,1,0,1
"119044","R1.004","R2.045","R3.004","P1.04","P2.04",1,1,0,1
"119072","R1.004","R2.045","R3.032","P1.04","P2.04",2,3,0.333333333333333,3
"119108","R1.004","R2.045","R3.068","P1.04","P2.04",2,2,0,2
"119480","R1.004","R2.047","R3.056","P1.04","P2.04",1,1,0,1
"119520","R1.004","R2.047","R3.096","P1.04","P2.04",1,1,0,1
"119869","R1.004","R2.049","R3.061","P1.04","P2.04",1,1,0,1
"119880","R1.004","R2.049","R3.072","P1.04","P2.04",1,1,0,1
"119892","R1.004","R2.049","R3.084","P1.04","P2.04",1,1,0,1
"120002","R1.004","R2.050","R3.002","P1.04","P2.04",1,1,0,1
"120062","R1.004","R2.050","R3.062","P1.04","P2.04",1,1,0,1
"120082","R1.004","R2.050","R3.082","P1.04","P2.04",1,1,0,1
"120671","R1.004","R2.053","R3.095","P1.04","P2.04",1,1,0,1
"121011","R1.004","R2.055","R3.051","P1.04","P2.04",1,1,0,1
"121229","R1.004","R2.056","R3.077","P1.04","P2.04",1,1,0,1
"121589","R1.004","R2.058","R3.053","P1.04","P2.04",1,1,0,1
"121610","R1.004","R2.058","R3.074","P1.04","P2.04",1,1,0,1
"121621","R1.004","R2.058","R3.085","P1.04","P2.04",1,1,0,1
"121805","R1.004","R2.059","R3.077","P1.04","P2.04",1,1,0,1
"121964","R1.004","R2.060","R3.044","P1.04","P2.04",1,2,0.5,1
"121974","R1.004","R2.060","R3.054","P1.04","P2.04",1,1,0,1
"122158","R1.004","R2.061","R3.046","P1.04","P2.04",1,1,0,1
"122507","R1.004","R2.063","R3.011","P1.04","P2.04",1,1,0,1
"122691","R1.004","R2.064","R3.003","P1.04","P2.04",1,1,0,1
"122730","R1.004","R2.064","R3.042","P1.04","P2.04",2,2,0,2
"123081","R1.004","R2.066","R3.009","P1.04","P2.04",1,2,0.5,1
"123083","R1.004","R2.066","R3.011","P1.04","P2.04",1,1,0,1
"123331","R1.004","R2.067","R3.067","P1.04","P2.04",1,1,0,1
"123468","R1.004","R2.068","R3.012","P1.04","P2.04",1,1,0,1
"123531","R1.004","R2.068","R3.075","P1.04","P2.04",1,1,0,1
"123737","R1.004","R2.069","R3.089","P1.04","P2.04",1,1,0,1
"124057","R1.004","R2.071","R3.025","P1.04","P2.04",1,1,0,1
"124254","R1.004","R2.072","R3.030","P1.04","P2.04",1,1,0,1
"124641","R1.004","R2.074","R3.033","P1.04","P2.04",1,1,0,1
"124666","R1.004","R2.074","R3.058","P1.04","P2.04",1,1,0,1
"124678","R1.004","R2.074","R3.070","P1.04","P2.04",1,1,0,1
"124834","R1.004","R2.075","R3.034","P1.04","P2.04",2,2,0,2
"124863","R1.004","R2.075","R3.063","P1.04","P2.04",1,1,0,1
"125222","R1.004","R2.077","R3.038","P1.04","P2.04",1,1,0,1
"125445","R1.004","R2.078","R3.069","P1.04","P2.04",2,2,0,2
"125961","R1.004","R2.081","R3.009","P1.04","P2.04",1,1,0,1
"125984","R1.004","R2.081","R3.032","P1.04","P2.04",1,2,0.5,1
"126030","R1.004","R2.081","R3.078","P1.04","P2.04",1,1,0,1
"126205","R1.004","R2.082","R3.061","P1.04","P2.04",2,2,0,2
"126221","R1.004","R2.082","R3.077","P1.04","P2.04",1,1,0,1
"126605","R1.004","R2.084","R3.077","P1.04","P2.04",1,1,0,1
"126785","R1.004","R2.085","R3.065","P1.04","P2.04",1,2,0.5,1
"126805","R1.004","R2.085","R3.085","P1.04","P2.04",1,1,0,1
"126968","R1.004","R2.086","R3.056","P1.04","P2.04",2,2,0,2
"127141","R1.004","R2.087","R3.037","P1.04","P2.04",1,1,0,1
"127758","R1.004","R2.090","R3.078","P1.04","P2.04",1,1,0,1
"127776","R1.004","R2.090","R3.096","P1.04","P2.04",2,2,0,2
"127882","R1.004","R2.091","R3.010","P1.04","P2.04",1,2,0.5,1
"127954","R1.004","R2.091","R3.082","P1.04","P2.04",1,1,0,1
"127963","R1.004","R2.091","R3.091","P1.04","P2.04",1,1,0,1
"128462","R1.004","R2.094","R3.014","P1.04","P2.04",1,2,0.5,1
"128474","R1.004","R2.094","R3.026","P1.04","P2.04",1,1,0,1
"128734","R1.004","R2.095","R3.094","P1.04","P2.04",1,2,0.5,1
"147486","R1.005","R2.001","R3.030","P1.04","P2.04",1,1,0,1
"147506","R1.005","R2.001","R3.050","P1.04","P2.04",1,1,0,1
"147862","R1.005","R2.003","R3.022","P1.04","P2.04",1,2,0.5,1
"148309","R1.005","R2.005","R3.085","P1.04","P2.04",1,2,0.5,1
"148420","R1.005","R2.006","R3.004","P1.04","P2.04",1,1,0,1
"149198","R1.005","R2.010","R3.014","P1.04","P2.04",1,1,0,1
"149619","R1.005","R2.012","R3.051","P1.04","P2.04",1,1,0,1
"150018","R1.005","R2.014","R3.066","P1.04","P2.04",1,1,0,1
"150341","R1.005","R2.016","R3.005","P1.04","P2.04",1,1,0,1
"150424","R1.005","R2.016","R3.088","P1.04","P2.04",1,1,0,1
"150545","R1.005","R2.017","R3.017","P1.04","P2.04",1,1,0,1
"150574","R1.005","R2.017","R3.046","P1.04","P2.04",1,1,0,1
"151110","R1.005","R2.020","R3.006","P1.04","P2.04",1,1,0,1
"151173","R1.005","R2.020","R3.069","P1.04","P2.04",1,1,0,1
"152084","R1.005","R2.025","R3.020","P1.04","P2.04",1,1,0,1
"152140","R1.005","R2.025","R3.076","P1.04","P2.04",2,2,0,2
"153091","R1.005","R2.030","R3.067","P1.04","P2.04",1,1,0,1
"153422","R1.005","R2.032","R3.014","P1.04","P2.04",1,1,0,1
"154388","R1.005","R2.037","R3.020","P1.04","P2.04",1,1,0,1
"154402","R1.005","R2.037","R3.034","P1.04","P2.04",1,1,0,1
"154439","R1.005","R2.037","R3.071","P1.04","P2.04",1,1,0,1
"154632","R1.005","R2.038","R3.072","P1.04","P2.04",1,1,0,1
"154961","R1.005","R2.040","R3.017","P1.04","P2.04",1,1,0,1
"155196","R1.005","R2.041","R3.060","P1.04","P2.04",1,1,0,1
"155949","R1.005","R2.045","R3.045","P1.04","P2.04",1,1,0,1
"155993","R1.005","R2.045","R3.089","P1.04","P2.04",1,1,0,1
"156345","R1.005","R2.047","R3.057","P1.04","P2.04",1,1,0,1
"156921","R1.005","R2.050","R3.057","P1.04","P2.04",1,1,0,1
"157131","R1.005","R2.051","R3.075","P1.04","P2.04",1,1,0,1
"157833","R1.005","R2.055","R3.009","P1.04","P2.04",1,1,0,1
"158065","R1.005","R2.056","R3.049","P1.04","P2.04",1,1,0,1
"158219","R1.005","R2.057","R3.011","P1.04","P2.04",1,1,0,1
"158627","R1.005","R2.059","R3.035","P1.04","P2.04",1,2,0.5,1
"158810","R1.005","R2.060","R3.026","P1.04","P2.04",1,1,0,1
"159413","R1.005","R2.063","R3.053","P1.04","P2.04",1,1,0,1
"159584","R1.005","R2.064","R3.032","P1.04","P2.04",1,1,0,1
"159757","R1.005","R2.065","R3.013","P1.04","P2.04",1,1,0,1
"159820","R1.005","R2.065","R3.076","P1.04","P2.04",1,1,0,1
"159991","R1.005","R2.066","R3.055","P1.04","P2.04",1,2,0.5,1
"160027","R1.005","R2.066","R3.091","P1.04","P2.04",1,1,0,1
"160028","R1.005","R2.066","R3.092","P1.04","P2.04",1,1,0,1
"160578","R1.005","R2.069","R3.066","P1.04","P2.04",2,2,0,2
"160957","R1.005","R2.071","R3.061","P1.04","P2.04",1,2,0.5,1
"160960","R1.005","R2.071","R3.064","P1.04","P2.04",1,1,0,1
"161170","R1.005","R2.072","R3.082","P1.04","P2.04",1,2,0.5,1
"161298","R1.005","R2.073","R3.018","P1.04","P2.04",1,1,0,1
"161482","R1.005","R2.074","R3.010","P1.04","P2.04",1,1,0,1
